AB,AVG,BB,G,H,HR,OBP,PLAYER,R,RBI,SB,SLG,SO,TEAM
14,.643,3,4,9,3,.722,1FernandoF Tatis Jr.TatisRF1‌‌‌,7,5,0,1.429,0,SD
5,.400,4,2,2,1,.667,2BryceB HarperHarper1B2‌‌‌,2,2,0,1.200,3,PHI
8,.625,0,2,5,1,.625,3MichaelM Harris IIHarrisCF3‌‌‌,2,2,0,1.125,1,ATL
11,.364,1,4,4,3,.385,4KyleK HigashiokaHigashiokaC4‌‌‌,3,4,0,1.273,0,SD
11,.455,1,3,5,2,.500,5JacksonJ ChourioChourioLF5‌‌‌,3,3,1,1.000,1,MIL
7,.429,0,2,3,1,.429,6CedricC MullinsMullinsCF6‌‌‌,1,1,0,1.000,1,BAL
14,.429,2,4,6,1,.500,7JacksonJ MerrillMerrillCF7‌‌‌,3,5,0,.857,3,SD
11,.455,1,3,5,0,.500,8BriceB TurangTurang2B8‌‌‌,3,0,2,.727,1,MIL
9,.444,0,2,4,1,.444,9NickN CastellanosCastellanosRF9‌‌‌,2,2,0,.778,2,PHI
20,.400,1,5,8,2,.429,10MarkM VientosVientos3B10‌‌‌,5,7,0,.750,8,NYM
6,.167,4,2,1,1,.500,11GleyberG TorresTorres2B11‌‌‌,3,2,0,.667,2,NYY
11,.364,0,3,4,1,.364,12SalS FrelickFrelickRF12‌‌‌,2,1,0,.727,1,MIL
7,.286,1,2,2,1,.375,13JorgeJ SolerSolerRF13‌‌‌,1,1,0,.714,2,ATL
7,.286,1,2,2,0,.375,14BrysonB StottStott2B14‌‌‌,1,2,0,.571,3,PHI
8,.375,1,2,3,0,.444,15JuanJ SotoSotoRF15‌‌‌,0,0,0,.500,3,NYY
15,.400,2,4,6,0,.471,16MichaelM MasseyMassey2B16‌‌‌,1,0,0,.467,3,KC
7,.429,1,2,3,0,.500,17AlexA VerdugoVerdugoLF17‌‌‌,2,1,0,.429,0,NYY
8,.250,0,2,2,1,.250,18JazzJ Chisholm Jr.Chisholm3B18‌‌‌,2,1,1,.625,1,NYY
8,.250,0,2,2,1,.250,18MaxM MuncyMuncy3B18‌‌‌,1,1,0,.625,2,LAD
7,.286,2,2,2,0,.444,20StevenS KwanKwanLF20‌‌‌,2,0,0,.429,2,CLE
21,.333,1,5,7,1,.391,21BrandonB NimmoNimmoLF21‌‌‌,4,4,0,.476,3,NYM
7,.429,0,2,3,0,.429,22TommyT EdmanEdmanCF22‌‌‌,1,0,2,.429,1,LAD
7,.286,0,2,2,0,.286,23BrayanB RocchioRocchioSS23‌‌‌,0,0,0,.571,2,CLE
17,.176,4,5,3,2,.318,24PeteP AlonsoAlonso1B24‌‌‌,3,5,1,.529,6,NYM
15,.400,1,4,6,0,.438,25MaikelM GarciaGarcia3B25‌‌‌,1,1,3,.400,4,KC
7,.286,1,2,2,0,.375,26YordanY AlvarezAlvarezDH26‌‌‌,0,0,0,.429,1,HOU
7,.286,1,2,2,0,.375,26DavidD FryFryDH26‌‌‌,1,2,1,.429,1,CLE
7,.429,0,2,3,0,.375,26GavinG LuxLux2B26‌‌‌,1,1,0,.429,1,LAD
9,.222,0,2,2,1,.222,29ShoheiS OhtaniOhtaniDH29‌‌‌,2,3,0,.556,4,LAD
15,.267,4,4,4,0,.421,30MattM VierlingVierling3B30‌‌‌,1,1,0,.333,7,DET
8,.375,0,2,3,0,.375,31AlexA BregmanBregman3B31‌‌‌,0,0,0,.375,0,HOU
12,.250,0,4,3,1,.250,31KerryK CarpenterCarpenterDH31‌‌‌,2,3,0,.500,3,DET
16,.250,0,4,4,1,.294,33SalvadorS PerezPerezC33‌‌‌,1,1,0,.438,5,KC
7,.286,2,2,2,0,.444,34AustinA WellsWellsC34‌‌‌,0,2,0,.286,2,NYY
7,.286,0,2,2,0,.286,35JoshJ NaylorNaylor1B35‌‌‌,1,1,0,.429,1,CLE
7,.286,0,2,2,0,.286,35RamónR UríasUrías3B35‌‌‌,0,0,0,.429,1,BAL
7,.143,0,2,1,1,.143,37LaneL ThomasThomasCF37‌‌‌,1,3,0,.571,2,CLE
17,.235,6,5,4,0,.417,38FranciscoF LindorLindorSS38‌‌‌,5,1,0,.294,4,NYM
13,.308,2,4,4,0,.400,39JakeJ RogersRogersC39‌‌‌,2,1,0,.308,6,DET
10,.200,0,2,2,1,.200,40KyleK SchwarberSchwarberDH40‌‌‌,1,1,0,.500,2,PHI
13,.231,0,4,3,1,.231,41MJM MelendezMelendezLF41‌‌‌,1,2,0,.462,2,KC
16,.250,0,4,4,1,.250,42ParkerP MeadowsMeadowsCF42‌‌‌,2,1,1,.438,5,DET
15,.200,0,4,3,1,.200,43XanderX BogaertsBogaertsSS43‌‌‌,1,3,0,.467,0,SD
7,.286,1,2,2,0,.375,44YainerY DiazDiazC44‌‌‌,0,1,0,.286,1,HOU
7,.286,1,2,2,0,.375,44TeoscarT HernándezHernándezLF44‌‌‌,1,2,1,.286,1,LAD
6,.167,1,2,1,0,.286,46JoséJ RamírezRamírez3B46‌‌‌,1,1,0,.333,2,CLE
13,.231,3,4,3,0,.375,47YuliY GurrielGurriel1B47‌‌‌,4,0,0,.231,1,KC
17,.176,0,4,3,1,.176,48MannyM MachadoMachado3B48‌‌‌,3,4,0,.412,6,SD
8,.250,1,2,2,0,.333,49TreaT TurnerTurnerSS49‌‌‌,2,0,2,.250,3,PHI
7,.286,0,2,2,0,.286,50FreddieF FreemanFreeman1B50‌‌‌,0,0,1,.286,2,LAD
14,.214,3,4,3,0,.353,51JuricksonJ ProfarProfarLF51‌‌‌,1,1,0,.214,3,SD
6,.167,0,2,1,0,.375,52VictorV CaratiniCaratini1B52‌‌‌,1,0,0,.167,3,HOU
6,.167,2,2,1,0,.375,52AnthonyA VolpeVolpeSS52‌‌‌,0,1,1,.167,1,NYY
6,.167,1,2,1,0,.375,52JordanJ WestburgWestburg2B52‌‌‌,0,0,0,.167,1,BAL
7,.286,0,2,2,0,.250,55MarcellM OzunaOzunaDH55‌‌‌,0,1,0,.286,4,ATL
19,.263,0,4,5,0,.263,56LuisL ArraezArraezDH56‌‌‌,4,0,0,.263,1,SD
15,.200,2,5,3,0,.300,57StarlingS MarteMarteRF57‌‌‌,1,3,1,.200,3,NYM
4,.000,4,2,0,0,.500,57WillW SmithSmithC57‌‌‌,2,0,0,.000,1,LAD
15,.133,2,4,2,0,.278,59RileyR GreeneGreeneLF59‌‌‌,0,0,0,.200,4,DET
7,.143,2,2,1,0,.333,60AaronA JudgeJudgeCF60‌‌‌,1,0,0,.143,4,NYY
6,.167,0,2,1,0,.286,61AndrésA GimenezGiménez2B61‌‌‌,0,0,1,.167,3,CLE
6,.167,1,2,1,0,.286,61JeremyJ PeñaPeñaSS61‌‌‌,1,0,0,.167,3,HOU
11,.182,1,3,2,0,.250,63WillyW AdamesAdamesSS63‌‌‌,1,0,1,.182,3,MIL
22,.182,0,5,4,0,.182,64JoseJ IglesiasIglesias2B64‌‌‌,3,1,0,.182,5,NYM
9,.000,5,4,0,0,.357,65ColtC KeithKeith2B65‌‌‌,1,0,0,.000,3,DET
11,.182,0,4,2,0,.167,66TommyT PhamPhamRF66‌‌‌,2,2,1,.182,3,KC
16,.125,2,4,2,0,.222,67VinnieV PasquantinoPasquantinoDH67‌‌‌,0,1,0,.125,7,KC
8,.125,1,2,1,0,.222,67GiancarloG StantonStantonDH67‌‌‌,0,1,0,.125,2,NYY
14,.143,1,4,2,0,.200,69TreyT SweeneySweeneySS69‌‌‌,1,1,1,.143,7,DET
18,.167,0,5,3,0,.167,70FranciscoF AlvarezAlvarezC70‌‌‌,0,1,0,.167,5,NYM
6,.167,0,2,1,0,.167,70OrlandoO ArciaArciaSS70‌‌‌,1,0,0,.167,2,ATL
12,.167,0,3,2,0,.167,70WilliamW ContrerasContrerasC70‌‌‌,0,2,0,.167,3,MIL
6,.000,3,2,0,0,.333,73MookieM BettsBettsRF73‌‌‌,1,0,0,.000,2,LAD
4,.000,1,2,0,0,.333,73JhonkensyJ NoelNoelRF73‌‌‌,1,0,0,.000,3,CLE
19,.158,0,4,3,0,.158,75BobbyB Witt Jr.WittSS75‌‌‌,0,2,0,.158,5,KC
16,.125,0,5,2,0,.125,76TyroneT TaylorTaylorCF76‌‌‌,2,0,0,.188,6,NYM
7,.143,0,2,1,0,.143,77ColtonC CowserCowserLF77‌‌‌,0,0,0,.143,3,BAL
7,.143,0,2,1,0,.143,77MiguelM RojasRojasSS77‌‌‌,0,0,0,.143,0,LAD
7,.143,0,2,1,0,.125,79JoseJ AltuveAltuve2B79‌‌‌,0,1,0,.143,2,HOU
8,.125,0,2,1,0,.125,80OzzieO AlbiesAlbies2B80‌‌‌,0,0,1,.125,4,ATL
8,.125,0,2,1,0,.125,80MattM OlsonOlson1B80‌‌‌,0,0,0,.125,1,ATL
6,.000,1,2,0,0,.250,80J.T.J RealmutoRealmutoC80‌‌‌,1,1,0,.000,3,PHI
8,.125,0,2,1,0,.125,80AdleyA RutschmanRutschmanC80‌‌‌,0,0,0,.125,2,BAL
8,.125,0,2,1,0,.125,80AnthonyA SantanderSantanderRF80‌‌‌,0,0,0,.125,2,BAL
7,.000,2,2,0,0,.222,85GunnarG HendersonHendersonSS85‌‌‌,0,0,0,.000,4,BAL
12,.000,3,4,0,0,.200,86SpencerS TorkelsonTorkelson1B86‌‌‌,1,0,0,.000,7,DET
13,.077,0,4,1,0,.077,87DonovanD SolanoSolano1B87‌‌‌,0,0,0,.077,4,SD
13,.000,1,4,0,0,.133,88JakeJ CronenworthCronenworth2B88‌‌‌,1,0,0,.000,6,SD
7,.000,1,2,0,0,.125,89KyleK TuckerTuckerRF89‌‌‌,0,0,0,.000,2,HOU
9,.000,0,3,0,0,.100,90RhysR HoskinsHoskins1B90‌‌‌,0,1,0,.000,3,MIL
